Date,Region,VenueName,ShowTime,MaxSeats,SeatsAvailable,BookedTickets,Occupancy,BookedGross,TotalGross
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,07:00 AM,777,0,777,100.00%,174950.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,11:00 AM,777,0,777,100.00%,174950.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,02:30 PM,777,16,761,97.94%,172450.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,06:30 PM,777,33,744,95.75%,169800.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,10:00 PM,777,124,653,84.04%,151050.00,174950.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,07:00 AM,554,0,554,100.00%,124700.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,11:00 AM,554,0,554,100.00%,124700.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,02:30 PM,554,84,470,84.84%,107500.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,06:15 PM,554,64,490,88.45%,111900.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,09:45 PM,554,118,436,78.70%,99400.00,124700.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,07:00 AM,467,0,467,100.00%,103950.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,07:15 AM,306,0,306,100.00%,62600.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,11:00 AM,467,124,343,73.45%,80850.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,11:10 AM,306,138,168,54.90%,38100.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,02:30 PM,467,362,105,22.48%,26150.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,02:40 PM,306,282,24,7.84%,5100.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,06:20 PM,306,271,35,11.44%,7350.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,06:30 PM,467,310,157,33.62%,37650.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,10:00 PM,467,366,101,21.63%,23450.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,10:10 PM,306,277,29,9.48%,6950.00,62600.00
2025-07-21,KAKINADA,Laxmi  A/C  Dts 2K: Kakinada,09:45 PM,459,91,368,80.17%,189600.00,244200.00
2025-07-21,KAKINADA,Satyagouri A/C 2K Digital Dolby Ex: Kakinada,09:30 PM,445,11,434,97.53%,224100.00,230700.00
2025-07-21,KAKINADA,Sripriya Dts 2K: Kakinada,09:15 PM,45,4,41,91.11%,24600.00,27000.00
2025-07-21,KAKINADA,Surya Cinemax: Kakinada,09:30 PM,408,205,203,49.75%,103800.00,219900.00
2025-07-21,RAJAMAHENDRAVARAM,Sri Venkata Surya Picture Palace 2K: Kadiam,09:00 PM,387,0,387,100.00%,203400.00,203400.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,08:01 AM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,11:15 AM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,02:30 PM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,06:15 PM,519,2,517,99.61%,122430.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,09:45 PM,519,10,509,98.07%,121230.00,122730.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,08:01 AM,469,35,434,92.54%,100300.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,11:30 AM,469,215,254,54.16%,60500.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,03:00 PM,469,323,146,31.13%,36000.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,06:30 PM,469,281,188,40.09%,45900.00,105650.00
